Orders Order Number,Orders Shipping Zipcode,Orders Shipping State,Orders Received Date,Orders Line Items Count,Orders Total Weight,Orders Cart Value
11803,77006,TX,2019-06-30,1,453,$37.30
11847,77084,TX,2019-07-03,1,90,$42.00
11976,77096,TX,2019-07-10,3,204,$66.80
11837,77386,TX,2019-07-02,3,317,$74.80
12051,77396,TX,2019-07-15,1,0,$52.20
12062,77433,TX,2019-07-15,1,0,$68.00
12084,77494,TX,2019-07-17,3,589,$86.40
12180,77578,TX,2019-07-26,1,453,$22.00
12053,78412,TX,2019-07-15,2,90,$90.00
12085,78666,TX,2019-07-17,1,90,$27.40
12031,78702,TX,2019-07-13,5,"1,155",$125.00
12086,78704,TX,2019-07-17,3,271,$70.40
11903,78704,TX,2019-07-05,2,906,$47.60
11988,78705,TX,2019-07-10,1,90,$33.60
12128,79072,TX,2019-07-22,2,226,$33.80
11901,79416,TX,2019-07-05,3,634,$114.00
11896,79925,TX,2019-07-05,1,67,$22.40
11856,79936,TX,2019-07-03,2,181,$38.00
11941,80011,CO,2019-07-08,1,90,$27.40
11841,80023,CO,2019-07-02,1,67,$28.80
11922,80026,CO,2019-07-06,4,656,$73.10
12083,80026,CO,2019-07-17,2,543,$48.00
11950,80108,CO,2019-07-08,2,90,$44.80
12146,80204,CO,2019-07-23,1,0,$58.00
12046,80204,CO,2019-07-14,1,0,$68.00
12174,80204,CO,2019-07-25,1,453,$46.60
11814,80205,CO,2019-06-30,3,294,$84.80
12027,80206,CO,2019-07-13,3,294,$79.12
12030,80210,CO,2019-07-13,2,90,$72.00
11928,80224,CO,2019-07-07,1,453,$44.20
11995,80246,CO,2019-07-11,2,0,$53.00
11889,80246,CO,2019-07-04,1,453,$33.28
12197,80301,CO,2019-07-28,2,4,$68.80
11982,80301,CO,2019-07-10,1,0,$38.40
11966,80439-4237,CO,2019-07-10,2,0,$51.00
12108,80503,CO,2019-07-19,2,90,$60.80
12171,80538,CO,2019-07-25,2,453,$93.50
11924,80923,CO,2019-07-06,1,0,$37.00
12157,81131,CO,2019-07-24,1,0,$68.00
11914,82433,WY,2019-07-06,4,385,$84.80
11972,82520,WY,2019-07-10,2,181,$48.00
11973,84057,UT,2019-07-10,2,906,$70.00
11857,84108,UT,2019-07-03,3,656,$69.00
11936,84111,UT,2019-07-08,5,747,$111.20
12169,84111,UT,2019-07-25,1,90,$33.60
12141,84310,UT,2019-07-23,4,679,$108.80
11802,85027,AZ,2019-06-30,1,67,$28.80
11944,85224,AZ,2019-07-08,1,67,$33.00
12161,85266,AZ,2019-07-24,1,90,$42.00
11895,85282,AZ,2019-07-05,1,0,$32.00
11968,85284,AZ,2019-07-10,2,453,$131.20
12189,85302,AZ,2019-07-26,3,544,$138.00
12201,85714,AZ,2019-07-28,1,90,$28.80
11809,87501,NM,2019-06-30,5,"1,064",$179.00
11949,88220,NM,2019-07-08,3,543,$123.20
12194,89014,NV,2019-07-27,3,340,$47.60
